thoi_diem,ten_ho,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,muc_nuoc_thuong_luu_m_filled,year_x,month_x,pct_change,anom_iqr_units,out_pct,is_event_month,year_y,month_y,lb_m,ub_m,luu_luong_den_ho_m3_s_capped_x,luu_luong_den_ho_m3_s_capped_roll_mean_6h,luu_luong_den_ho_m3_s_capped_roll_mean_24h,luu_luong_den_ho_m3_s_capped_roll_mean_72h,luu_luong_den_ho_m3_s_capped_roll_mean_168h,luu_luong_den_ho_m3_s_capped_roll_std_24h,luu_luong_den_ho_m3_s_capped_roll_std_168h,luu_luong_den_ho_m3_s_capped_diff_1,luu_luong_den_ho_m3_s_capped_diff_6,luu_luong_den_ho_m3_s_capped_diff_24,luu_luong_den_ho_m3_s_capped_lag_1,luu_luong_den_ho_m3_s_capped_lag_6,luu_luong_den_ho_m3_s_capped_lag_24,luu_luong_den_ho_m3_s_capped_lag_72,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_anom,luu_luong_den_ho_m3_s_capped_iqrscore,luu_luong_den_ho_m3_s_capped_pct_in_month,log1p_luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_y,phase_pre_lu_som,phase_lu_som,phase_lu_chinh_vu,phase_tai_tich
2023-11-08 09:00:00,Hòa Bình,116.72,1551.0,974.0,0.0,974.0,116.72,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1551.0,1532.8333333333333,1161.5416666666667,935.1111111111112,878.4940476190476,647.1138586171928,668.5805770348927,305.0,-614.0,1337.0,1246.0,2165.0,214.0,318.0,845.5,705.5,0.6585764294049008,0.7694444444444445,7.347299700743164,1551.0,0,0,0,1
2023-11-08 10:00:00,Hòa Bình,116.74,1920.0,773.0,0.0,773.0,116.74,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1920.0,1585.6666666666667,1233.625,947.5416666666666,885.3869047619048,630.322816706495,673.3248446435906,369.0,317.0,1730.0,1551.0,1603.0,190.0,1025.0,845.5,1074.5,1.003033838973162,0.8732638888888888,7.560601162768557,1920.0,0,0,0,1
2023-11-08 11:00:00,Hòa Bình,116.77,2220.0,503.0,0.0,503.0,116.77,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,2220.0,1687.8333333333333,1305.125,957.3194444444443,894.797619047619,641.1927277584921,680.8667737429349,300.0,613.0,1716.0,1920.0,1607.0,504.0,1516.0,845.5,1374.5,1.2830805134189032,0.9206597222222224,7.7057128238944275,2220.0,0,0,0,1
2023-11-08 12:00:00,Hòa Bình,116.79,1617.0,470.0,0.0,470.0,116.79,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1617.0,1691.3333333333333,1307.2083333333333,961.6111111111112,900.25,642.161091746895,682.9699649720285,-603.0,21.0,50.0,2220.0,1596.0,1567.0,1308.0,845.5,771.5,0.7201866977829638,0.7916666666666666,7.388946097618437,1617.0,0,0,0,1
2023-11-08 13:00:00,Hòa Bình,116.81,1574.0,428.0,0.0,428.0,116.81,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1574.0,1688.0,1303.1666666666667,960.3055555555557,901.2559523809524,640.0737502796395,683.8417717766546,-43.0,-20.0,-97.0,1617.0,1594.0,1671.0,1668.0,845.5,728.5,0.680046674445741,0.7779513888888889,7.362010551259734,1574.0,0,0,0,1
2023-11-08 14:00:00,Hòa Bình,116.81,472.0,465.0,0.0,465.0,116.81,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,472.0,1559.0,1309.75,951.25,901.3035714285714,630.1938452640081,683.8114191742912,-1102.0,-774.0,158.0,1574.0,1246.0,314.0,1124.0,845.5,-373.5,-0.3486581096849475,0.2815972222222222,6.159095388491933,472.0,0,0,0,1
2023-11-08 15:00:00,Hòa Bình,116.81,582.0,575.0,0.0,575.0,116.81,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,582.0,1397.5,1332.3333333333333,949.0833333333334,899.4107142857143,591.2195697962695,684.2550329110916,110.0,-969.0,542.0,472.0,1551.0,40.0,738.0,845.5,-263.5,-0.2459743290548424,0.3347222222222222,6.368187186350492,582.0,0,0,0,1
2023-11-08 16:00:00,Hòa Bình,116.8,362.0,875.0,0.0,875.0,116.8,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,362.0,1137.8333333333333,1338.7083333333333,945.5277777777778,894.8869047619048,579.2846772691142,685.2861321676237,-220.0,-1558.0,153.0,582.0,1920.0,209.0,618.0,845.5,-483.5,-0.4513418903150525,0.1979166666666666,5.8944028342648505,362.0,0,0,0,1
2023-11-08 17:00:00,Hòa Bình,116.79,613.0,1176.0,0.0,1176.0,116.79,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,613.0,870.0,1332.375,948.125,892.2083333333334,586.6142953608276,685.5045159349914,251.0,-1607.0,-152.0,362.0,2220.0,765.0,426.0,845.5,-232.5,-0.2170361726954492,0.3513888888888888,6.419994928147142,613.0,0,0,0,1
2023-11-08 18:00:00,Hòa Bình,116.79,1285.0,1278.0,0.0,1278.0,116.79,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1285.0,814.6666666666666,1346.2916666666667,953.25,890.0833333333334,581.1093198930886,683.7173175073763,672.0,-332.0,334.0,613.0,1617.0,951.0,916.0,845.5,439.5,0.4102683780630105,0.6852430555555555,7.1592919047975645,1285.0,0,0,0,1
